Label,Recommendation
Apple___Apple_scab,"Cultural controls may be used as a first step when seeking to reduce the incidence of new infections. These practices include cleaning leaf litter from the base of previously-infected trees, as well as removing infected woody material from the canopy when performing annual pruning. Doing so will reduce the amount of primary inoculum in the spring and subsequently delay the establishment of the disease. Furthermore, regular pruning will improve air flow and light penetration in the canopy, which ultimately inhibits the development and spread of disease. Another aspect of cultural control is water management. As water triggers ascospore release and promotes germination on vulnerable tissue, growers are advised to monitor watering periods and avoid using overhead watering systems. Doing so may ultimately aid in reducing infection periods caused by natural precipitation."
Apple___Black_rot,"The most effective treatment is to prune out the infected areas on trees, to ensure transfer between trees does not occur. Fruit that is infected can stay on the tree for over a year, and therefore remaining fruit should be removed to avoid another source of inoculation for other trees. The trimmed branches or dead fruit should then be burned or disposed of immediately as the organism can survive on the dead tissue for a long period of time. Infection of leaves and fruit can be avoided by spraying them with a fungicide. The treatment for the fungicide should be also kept up to date via the manufacturers instructions."
Apple___Cedar_apple_rust,"Because apples are an economically important crop, control is usually focused there.  Interruption of the disease cycle is the only effective method for control of the cedar apple rust.  The recommended method of control is to “remove cedars located within a 1 mile (1.6 km) radius” of the apples to interrupt the disease cycle, though this method is seldom practical.  For those doing bonsai, it is common to have the trees within feet of each other and on the central eastern seaboard of the United States, Eastern Red Cedar is a common first-growth conifer along roadsides.There are differences in the susceptibility of various apple varieties.  Jonathan, Rome Beauty, Wealthy and York Imperial are susceptible.  Grimes Golden, Narragansett, Red Delicious, Winesap, Staymans, Redfree, Jonafree and Priscilla are resistant.  Crabapples are generally more susceptible than apples.  Resistant crabapples include Adams, Beverly, Candied Apple, Dolgo, Donald Wyman, Eleyi, Inglis, Indian Summer, Liset, Mt. Arbor, M. persicifolia, Red Jewel, Robinson, Robusta, Royalty, M. sargentii, Tina, Snowdrift, and Special Radiant.  Resistant Crataegus (Hawthorn) include C. crus-galli, series Intricatae, C. laevigata, Autumn Glory, C. phaenopyrum, C. pruinosa, C. viridis, and Winter King.  The resistant varieties are less susceptible to attack, but that does not mean that they are free from an aggressive attack.Fungicide sprays applied in a timely manner are highly effective against the rust diseases during the apple cycle.  Most sprays are applied four times at 7- to 10-day intervals, starting with pink bud on crabapples.  These applications are to protect the apples from spores being released from the cedar host in mid-spring.  If cedar apple rust disease is diagnosed on apple fruits and leaves it is far too late to spray.  Systemic fungicides are available.Fungicides listed for use on apples can be used in July and August on the cedars to reduce infection.  Application of fungicides to the junipers before and while they are in the infectious orange gelatinous state seems to reduce the severity of the outbreak."
Cherry___Powdery_mildew,"Standard fungicides are an effective way to manage powdery mildew disease on plants. Spray programs of conventional fungicides are advised to begin when powdery mildew symptoms and signs are first noticed. Conventional fungicides should be applied on a regular basis for best results against the disease.Control is possible with triadimefon and propiconazole. It is also possible with hexaconazole, myclobutanil, and penconazole."
Corn___Cercospora_leaf_spot Gray_leaf_spot,"In order to best prevent and manage corn grey leaf spot, the overall approach is to reduce the rate of disease growth and expansion. This is done by limiting the amount of secondary disease cycles and protecting leaf area from damage until after corn grain formation. High risks for corn grey leaf spot are divided into eight factors, which require specific management strategies.High risk factors for grey leaf spot in corn:Susceptible hybridContinuous cornLate planting dateMinimum tillage systemsField history of severe diseaseEarly disease activity (before tasseling)IrrigationFavorable weather forecast for diseaseThere are currently five different management strategies, some of which are more effective than others."
Corn___Common_rust,"The use of resistant maize hybrids is the best way to manage P. sorghi. There are two types of resistance that exist. The first is partial resistance which results in fewer rust spots by reducing germination rate. This type of resistance makes P. sorghi less severe by slowing down development of number of urediniospores. The other type of resistance is qualitative. This type relies on a single gene which provides total resistance to the plant. Other management tactics include foliar application of fungicide and cultural control. For fungicide application, plants should be monitored throughout the season, spraying when there are six or more pustules per leaf. Fungicide groups that can be used include mixed modes of action, DMI Triazoles (Group 3), and Qol Strobilurins (Group 11). Cultural control can be more effective in areas where the spores can overwinter. Debris should be collected and destroyed by burning along with eradication of Oxalis in surrounding areas. In northern areas where the spores can’t overwinter, early planting time can help avoid P. sorghi. Younger leaves are more susceptible to infection, by planting earlier the crop will be more mature and more resilient by the time the spores arrive."
Corn___Northern_Leaf_Blight,"Preventative management strategies can reduce economic losses from NCLB. Preventative management is especially important for fields at high risk for disease development. In-season disease management options, such as fungicides, are also available.Management of NCLB can be achieved primarily by using hybrids with resistance, but because resistance may not be complete or may fail, it is advantageous to utilize an integrated approach with different cropping practices and fungicides. Scouting fields and monitoring local conditions is vital to control this disease.Major (vertical) resistance of corn hybrids comes from the race specific Ht1, Ht2, Ht3, and HtN genes, with the Ht1 gene being most prevalent. Plants with Ht1 Ht2, or Ht3 genes have smaller, chlorotic lesions and reduced sporulation. The HtN gene delays symptoms until after the pollen shed. Individually, each Ht gene has limited effectiveness because there are races of E. turcicum that are virulent in the presence of one or the other. For example, widespread use of the Ht1 gene has reduced the prevalence of the Race 0 to which it has resistance against, but has increased Race 1. Breeders are now focusing on incorporating several resistance genes into corn hybrids. Incorporating both the Ht1 and Ht2 provide resistance against both Races 0 and 1. Thus far, this multigenic approach has proven to be effective. However resistant plants still show some symptoms, and the threat of new races showing up lends to the need for other management practices, especially in areas where the disease is present.Ways to change cropping practices to control the disease include reducing the amount of infected residue left in a field, managing weeds to improve airflow and reduce humidity, and encouraging residue decomposition with tillage. The tillage will assist in breaking down crop debris and reducing existing inoculum. In a system with normal tillage, a one-year rotation out of corn can be effective, but a two-year rotation may be required for a reduced-tillage system. If possible, planting in low areas that receive heavy dew and fog should be avoided. A combination of crop rotation for one to two years followed by tillage is recommended to prevent NCLB disease development.The use of foliar fungicides for corn have also been shown to control NCLB. Research suggests that using fungicides to keep the upper 75% of the leaf canopy disease-free for three quarters of the grain-filling period will eliminate yield loss  To ensure that newly emerging leaf tissue is protected from infection, before the plants are in tassel, fungicides should be applied on the same day that significant conidial dispersal is expected to occur. After tasseling and silking, timing becomes less important since plant expansion will have slowed down. The disease pressure in the field and weather conditions should be monitored and evaluated beforehand to determine if fungicides are needed or not."
Grape___Black_rot,"A mixture of cultural and chemical control practices can manage grape black rot disease caused by Guignardia bidwellii. Cultural control aspects involve the basics in plant care and field sanitation as well as cleanup after an infectious outbreak. Chemical control has a large influence to prevent but not eliminate disease.Cultural controlCultural control consists of the management of the fields and sanitation methods to optimally grow grape crops.Many universities and professors suggest the following cultural control practices:The first cultural control method is to choose the right grape cultivar for the region that the grape will be grown in. Grape cultivars differ in their susceptibility to diseases, including differences in the disease black rot. Some varieties are less susceptible, while others are more prone to the disease when the right environmental conditions occur. Through research, many lists of grapes varieties will show the amount of resistance a variety has to disease and how the variety should be grown. A list of grape varieties is a good place to start for selecting the right grape variety.Proper grape management in the field is important to control black rot disease. The placement of the grape plants is important to provide for proper aeration and lighting. “Choose a planting site where the vines will be exposed to full sun and good air circulation.”Proper training of grape vines should be practiced. Many people use trellising to keep the vines off the ground. Trellising is a form of plant training, which is the arrangement of plant parts spatially to optimize productivity. Having the grape vines off the ground “reduces the time that vines remain wet from dew and rain and thus limits the amount of infection”. As the current seasons growth occurs, tie the new growth in a spatial manner to allow for air circulation and sunlight to affect the whole grape plant.A proper pruning technique is another cultural control method to limit diseases. Prune each vine every year during the dormant period. This dormant pruning is heavily researched to provide the term-balanced pruning. This is done by using the weight of the previous year’s cane growth (1- yr-old canes) to determine how many buds should be retained for the current production year. Up to four pounds of pruning can occur during the season. Remove excess growth, diseased and overwintering berries, leaves, and tendrils from the vineyard, and burn or otherwise destroy them. This practice reduces inoculum of the fungus, thus limiting disease. During the season, minor pruning to train the canopy growth may occur to help with aeration.The last cultural control method would be to maintain clean fields once infected. Keep the field well managed, do not allow overgrowth of weeds or plants near the grapes. Once the plants have been infected “Remove all mummies from the canopy during the dormant pruning process. Mummies produce spores next to the susceptible grapevine tissues throughout the season; even relatively few can cause significant damage.” Another technique to rid of infection can be to “cultivate the vineyard before bud-break to bury the mummified berries. Diseased berries covered with soil do not produce spores that will reach the developing vines”.Chemical control The use of chemical control is widely available for agricultural purposes. To apply chemical applications, look at the fungicide label for proper use. Be sure that the conditions are optimal to spray to avoid drift and inefficiencies of the fungicide due to application. Fungicide guidelines must be followed. There are a wide variety of chemicals that are available for both regular and organic growers.Commercially, application of fungicides may be costly. To cut down on costs, one must understand the life cycle of the pathogens. Different fungicides are more effective at certain infection stages. Understand that throughout the development of the plant, different fungicides should be considered to protect plant health. In order to cut down on spraying costs, it is important to understand life cycle of the pathogen. “Research in New York demonstrated berries of most varieties become resistant to black rot infection 3-4 weeks after bloom, therefore, sprays for black rot should not be needed at this time”. Understanding times to limit application is important for good production practices. This shows that preventative chemical measures before the three to four weeks would be optimal. Each region should develop their own fungicide application program in correlation with cultural practices.The most common fungicides that prove to be excellent for certain regions of the United States for controlling black rot are Sovran 50WG, Flint 50WG, Abound Flowable (2.08F), and Pristine 38WDG. Some of these fungicides may only be available for commercial use, however homeowners may go to a hardware store or fungicide distributor for similar fungicides.Sovran 50WG is registered for control of black rot. The Sovran label gives different use rates for control of different diseases. For black rot the rate is 3.2-4.8 oz/A. Sovran is excellent for control of black rot.Flint 50WG is in the same general class of chemistry as Abound and Sovran. It is registered for the control of black rot, powdery mildew and suppression of downy mildew. For black rot the rate is 2.0 oz/A.Abound is in the same general class of chemistry as Sovran and Flint (strobilurin). Abound is recommended at the rate of 11-15.4 fl oz/A. In university tests, the rate of 11-12 fl oz provided good control of the mentioned diseases above. Abound Flowable is very phototoxic to apples of the variety McIntosh or varieties related. Do not allow spray to drift from grapes to apples. Pristine 38WDG contains a combination of two active ingredients (pyraclostrobin, 12.8% and boscalid 25.2%).Pyraclostrobin, a strobilurin, is in the same general class of chemicals as Abound, Sovran, and Flint (strobilurin Pristine is registered for use at the rates of 6-10.5 oz/A. A maximum of six applications may be made per season). The label states, “Do not use on Concord, Worden, Fredonia, or related varieties due to possible foliar injury. Experience in New York suggests that Corot noir and Noiret may also be sensitive to Pristine.”Black Rot Control for Organic GrowersExcerpt from Dr. Wayne Wilcox’s Grape Disease Notes, 2009 suggests a possible way for controlling black rot on grapes in organic farming.Black rot is probably the “Achilles heel” for organic grape production in the East. In the only good trial that we’ve run with copper, it provided 40% disease control when applied at 2-week intervals, versus essentially 100% control with Nova. To try to avoid this, implement a rigorous program to remove mummies during pruning, and spray copper once a week throughout much of the growing season. This was hard on some of the hybrid vines and runs counter to the thinking of many with a “sustainable” orientation (after all, copper is an element and doesn’t break down into anything else, so it stays in the soil forever), but it did control the disease in an organically acceptable manner. Limit inoculum within the vineyard. Ideally, this would include removing or burying any mummies that you might encounter at the site. All mummified clusters should be removed from the trellis during pruning and from 2 to 6 weeks after cap fall and prune out any affected clusters before they allow the disease to spread, all the better (spores for disease spread are dispersed by rain primarily within the canopy, so should pose little risk of causing new infections if said clusters are simply dropped to the ground)."
Grape___Esca_(Black_Measles),"Esca is a grape disease of mature grapevines. It is a type of grapevine trunk disease.
The fungi Phaeoacremonium aleophilum, Phaeomoniella chlamydospora and Fomitiporia mediterranea are associated with the disease."
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"A Leaf Spot is a limited, discoloured, diseased area of a leaf that is caused by fungal, bacterial or viral plant diseases, or by injuries from nematodes, insects, environmental factors, toxicity or herbicides. These discoloured spots or lesions often have a centre of necrosis or cell death. Symptoms can overlap across causal agents, however differing signs and symptoms of certain pathogens can lead to the diagnosis of the type of leaf spot disease. Prolonged wet and humid conditions promote leaf spot disease and most pathogens are spread by wind, splashing rain or irrigation that carry the disease to other leaves.

"
