Filename,Predictions
Apple___Apple_scab/image (109).JPG,Apple___Apple_scab
Apple___Apple_scab/image (113).JPG,Apple___Apple_scab
Apple___Apple_scab/image (114).JPG,Apple___Apple_scab
Apple___Apple_scab/image (138).JPG,Apple___Apple_scab
Apple___Apple_scab/image (148).JPG,Apple___Apple_scab
Apple___Apple_scab/image (158).JPG,Apple___Apple_scab
Apple___Apple_scab/image (16).JPG,Apple___Apple_scab
Apple___Apple_scab/image (164).JPG,Apple___Apple_scab
Apple___Apple_scab/image (195).JPG,Apple___Apple_scab
Apple___Apple_scab/image (199).JPG,Apple___Apple_scab
Apple___Apple_scab/image (207).JPG,Apple___Apple_scab
Apple___Apple_scab/image (250).JPG,Apple___Apple_scab
Apple___Apple_scab/image (256).JPG,Apple___Apple_scab
Apple___Apple_scab/image (28).JPG,Apple___Apple_scab
Apple___Apple_scab/image (283).JPG,Apple___Apple_scab
Apple___Apple_scab/image (287).JPG,Apple___Apple_scab
Apple___Apple_scab/image (309).JPG,Apple___Apple_scab
Apple___Apple_scab/image (325).JPG,Apple___Apple_scab
Apple___Apple_scab/image (342).JPG,Apple___Apple_scab
Apple___Apple_scab/image (360).JPG,Apple___Apple_scab
Apple___Apple_scab/image (382).JPG,Apple___Apple_scab
Apple___Apple_scab/image (385).JPG,Apple___Apple_scab
Apple___Apple_scab/image (388).JPG,Apple___Apple_scab
Apple___Apple_scab/image (404).JPG,Apple___Apple_scab
Apple___Apple_scab/image (405).JPG,Apple___Apple_scab
Apple___Apple_scab/image (419).JPG,Apple___Apple_scab
Apple___Apple_scab/image (423).JPG,Apple___Apple_scab
Apple___Apple_scab/image (43).JPG,Apple___Apple_scab
Apple___Apple_scab/image (434).JPG,Apple___Apple_scab
Apple___Apple_scab/image (435).JPG,Apple___Apple_scab
Apple___Apple_scab/image (451).JPG,Apple___Apple_scab
Apple___Apple_scab/image (459).JPG,Apple___Apple_scab
Apple___Apple_scab/image (466).JPG,Apple___Apple_scab
Apple___Apple_scab/image (470).JPG,Apple___Apple_scab
Apple___Apple_scab/image (474).JPG,Apple___Apple_scab
Apple___Apple_scab/image (490).JPG,Apple___Apple_scab
Apple___Apple_scab/image (497).JPG,Apple___Apple_scab
Apple___Apple_scab/image (515).JPG,Apple___Apple_scab
Apple___Apple_scab/image (52).JPG,Apple___Apple_scab
Apple___Apple_scab/image (522).JPG,Apple___Apple_scab
Apple___Apple_scab/image (564).JPG,Apple___Apple_scab
Apple___Apple_scab/image (583).JPG,Apple___Apple_scab
Apple___Apple_scab/image (590).JPG,Apple___Apple_scab
Apple___Apple_scab/image (602).JPG,Apple___Apple_scab
Apple___Apple_scab/image (622).JPG,Apple___Apple_scab
Apple___Apple_scab/image (624).JPG,Apple___Apple_scab
Apple___Apple_scab/image (625).JPG,Apple___Apple_scab
Apple___Apple_scab/image (630).JPG,Apple___Apple_scab
Apple___Apple_scab/image (638).JPG,Apple___Apple_scab
Apple___Apple_scab/image (646).JPG,Apple___Apple_scab
Apple___Apple_scab/image (654).JPG,Apple___Apple_scab
Apple___Apple_scab/image (656).JPG,Apple___Apple_scab
Apple___Apple_scab/image (661).JPG,Apple___Apple_scab
Apple___Apple_scab/image (668).JPG,Apple___Apple_scab
Apple___Apple_scab/image (669).JPG,Apple___Apple_scab
Apple___Apple_scab/image (67).JPG,Apple___Apple_scab
Apple___Apple_scab/image (684).JPG,Apple___Apple_scab
Apple___Apple_scab/image (687).JPG,Apple___Apple_scab
Apple___Apple_scab/image (70).JPG,Apple___Apple_scab
Apple___Apple_scab/image (703).JPG,Apple___Apple_scab
Apple___Apple_scab/image (71).JPG,Apple___Apple_scab
Apple___Apple_scab/image (714).JPG,Apple___Apple_scab
Apple___Apple_scab/image (720).JPG,Apple___Apple_scab
Apple___Apple_scab/image (724).JPG,Corn___healthy
Apple___Apple_scab/image (735).JPG,Apple___Apple_scab
Apple___Apple_scab/image (740).JPG,Apple___Apple_scab
Apple___Apple_scab/image (742).JPG,Apple___Apple_scab
Apple___Apple_scab/image (752).JPG,Apple___Apple_scab
Apple___Apple_scab/image (773).JPG,Apple___Apple_scab
Apple___Apple_scab/image (779).JPG,Apple___Apple_scab
Apple___Apple_scab/image (79).JPG,Apple___Apple_scab
Apple___Apple_scab/image (80).JPG,Apple___Apple_scab
Apple___Apple_scab/image (811).JPG,Apple___Apple_scab
Apple___Apple_scab/image (812).JPG,Apple___Apple_scab
Apple___Apple_scab/image (826).JPG,Apple___Apple_scab
Apple___Apple_scab/image (827).JPG,Apple___Apple_scab
Apple___Apple_scab/image (831).JPG,Apple___Apple_scab
Apple___Apple_scab/image (834).JPG,Apple___Apple_scab
Apple___Apple_scab/image (836).JPG,Apple___Apple_scab
Apple___Apple_scab/image (837).JPG,Apple___Apple_scab
Apple___Apple_scab/image (84).JPG,Apple___Apple_scab
Apple___Apple_scab/image (855).JPG,Apple___Apple_scab
Apple___Apple_scab/image (859).JPG,Apple___Apple_scab
Apple___Apple_scab/image (866).JPG,Apple___Apple_scab
Apple___Apple_scab/image (884).JPG,Apple___Apple_scab
Apple___Apple_scab/image (895).JPG,Apple___Apple_scab
